"filename", "language", "JavaScript", "HTML", "JSON", "Markdown", "CSS", "PHP", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\app.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 9, 19, 97
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\config\config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\controller\adminController.js", "JavaScript", 636, 0, 0, 0, 0, 0, 0, 0, 39, 89, 764
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\controller\adminCouponController.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 22, 143
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\controller\adminProductController.js", "JavaScript", 201, 0, 0, 0, 0, 0, 0, 0, 34, 38, 273
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\controller\cartController.js", "JavaScript", 281, 0, 0, 0, 0, 0, 0, 0, 34, 64, 379
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\controller\orderController.js", "JavaScript", 393, 0, 0, 0, 0, 0, 0, 0, 18, 70, 481
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\controller\userController.js", "JavaScript", 778, 0, 0, 0, 0, 0, 0, 0, 57, 135, 970
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\middleware\auth.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\middleware\userBlock.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\models\admins.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\mamme\OneDrive\Desktop\ECOMMERCE_ PROJECT\models\banners.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
